Date,Temperature,Flow velocity,CO2 pressure,Internal pressure,Corrosion Inhibitor efficiency,Shear stress,pH,Corrosion rate,month,week,day,day_of_week
2022-08-31,30,1.5,1.5,60,60,4,3.9,2.9,8,35,31,2
2022-09-01,30,1.8,2.0,60,40,5,3.8,5.4,9,35,1,3
2022-09-02,30,1.2,1.5,70,60,3,3.9,2.7,9,35,2,4
2022-09-03,50,1.8,1.0,65,50,5,4.0,4.1,9,35,3,5
2022-09-04,30,1.8,1.0,65,40,5,4.0,3.4,9,35,4,6
2022-09-05,50,1.5,2.0,65,50,4,3.9,6.1,9,36,5,0
2022-09-06,40,1.2,2.0,65,60,3,3.9,4.3,9,36,6,1
2022-09-07,30,1.8,2.0,70,60,5,3.8,3.5,9,36,7,2
2022-09-08,40,1.8,1.5,65,60,5,3.9,3.9,9,36,8,3
2022-09-09,30,1.8,1.5,65,50,5,3.9,3.7,9,36,9,4
2022-09-10,50,1.8,1.0,70,40,5,4.0,4.8,9,36,10,5
2022-09-11,40,1.8,2.0,65,40,5,3.9,6.9,9,36,11,6
2022-09-12,40,1.2,1.0,70,50,3,4.0,3.4,9,37,12,0
2022-09-13,50,1.5,1.5,60,60,4,3.9,4.1,9,37,13,1
2022-09-14,30,1.5,2.0,60,40,4,3.8,5.2,9,37,14,2
2022-09-15,40,1.2,1.5,60,50,3,3.9,4.5,9,37,15,3
2022-09-16,40,1.2,1.0,70,40,3,4.0,4.1,9,37,16,4
2022-09-17,40,1.2,1.0,65,60,3,4.0,2.8,9,37,17,5
2022-09-18,30,1.8,1.0,70,40,5,4.0,3.3,9,37,18,6
2022-09-19,40,1.8,1.5,70,60,5,3.9,3.8,9,38,19,0
2022-09-20,40,1.8,1.5,60,50,5,3.9,4.9,9,38,20,1
2022-09-21,40,1.5,1.0,70,50,4,4.0,3.6,9,38,21,2
2022-09-22,30,1.5,1.5,70,60,4,3.9,2.8,9,38,22,3
2022-09-23,40,1.2,1.5,60,60,3,3.9,3.6,9,38,23,4
2022-09-24,40,1.5,1.0,70,40,4,4.0,4.3,9,38,24,5
2022-09-25,50,1.5,2.0,65,40,4,3.9,7.3,9,38,25,6
2022-09-26,30,1.8,1.0,65,60,5,4.0,2.2,9,39,26,0
2022-09-27,30,1.5,1.0,65,60,4,4.0,2.2,9,39,27,1
2022-09-28,50,1.2,2.0,65,60,3,3.9,4.6,9,39,28,2
2022-09-29,40,1.8,1.0,65,40,5,4.0,4.5,9,39,29,3
2022-09-30,40,1.8,2.0,70,60,5,3.9,4.6,9,39,30,4
2022-10-01,40,1.8,1.0,70,50,5,4.0,3.7,10,39,1,5
2022-10-02,30,1.2,2.0,60,50,3,3.8,4.1,10,39,2,6
2022-10-03,40,1.8,1.0,65,50,5,4.0,3.7,10,40,3,0
2022-10-04,40,1.8,1.5,65,40,5,3.9,5.8,10,40,4,1
2022-10-05,30,1.2,1.5,60,40,3,3.9,4.1,10,40,5,2
2022-10-06,40,1.5,1.5,70,60,4,3.9,3.7,10,40,6,3
2022-10-07,50,1.8,1.5,60,60,5,3.9,4.3,10,40,7,4
2022-10-08,50,1.2,1.5,60,40,3,3.9,5.9,10,40,8,5
2022-10-09,30,1.8,1.5,70,50,5,3.9,3.6,10,40,9,6
2022-10-10,40,1.8,2.0,65,50,5,3.9,5.7,10,41,10,0
2022-10-11,30,1.5,1.5,70,40,4,3.9,4.2,10,41,11,1
2022-10-12,40,1.5,2.0,65,60,4,3.9,4.4,10,41,12,2
2022-10-13,40,1.5,2.0,60,40,4,3.8,6.9,10,41,13,3
2022-10-14,40,1.8,1.0,60,60,5,4.0,3.0,10,41,14,4
2022-10-15,50,1.2,1.0,60,40,3,4.0,4.6,10,41,15,5
2022-10-16,30,1.8,1.0,60,50,5,4.0,2.8,10,41,16,6
2022-10-17,30,1.2,2.0,70,50,3,3.8,4.1,10,42,17,0
2022-10-18,50,1.5,1.0,60,50,4,4.0,4.0,10,42,18,1
2022-10-19,40,1.8,2.0,60,50,5,3.8,5.9,10,42,19,2
2022-10-20,50,1.5,2.0,65,60,4,3.9,4.9,10,42,20,3
2022-10-21,40,1.8,1.0,60,50,5,4.0,3.7,10,42,21,4
2022-10-22,40,1.5,1.0,65,40,4,4.0,4.3,10,42,22,5
2022-10-23,50,1.8,2.0,65,50,5,3.9,6.3,10,42,23,6
2022-10-24,50,1.2,1.5,65,60,3,3.9,3.9,10,43,24,0
2022-10-25,40,1.2,1.5,65,40,3,3.9,5.4,10,43,25,1
2022-10-26,40,1.5,1.5,70,50,4,3.9,4.6,10,43,26,2
2022-10-27,50,1.8,2.0,70,40,5,3.9,7.5,10,43,27,3
2022-10-28,50,1.8,1.5,65,40,5,3.9,6.3,10,43,28,4
2022-10-29,30,1.5,1.5,70,50,4,3.9,3.5,10,43,29,5
2022-10-30,40,1.2,1.5,60,40,3,3.9,5.4,10,43,30,6
2022-10-31,50,1.8,1.0,65,60,5,4.0,3.3,10,44,31,0
2022-11-01,40,1.8,2.0,70,40,5,3.9,6.8,11,44,1,1
2022-11-02,40,1.5,1.5,60,50,4,3.9,4.7,11,44,2,2
2022-11-03,30,1.5,2.0,70,60,4,3.8,3.4,11,44,3,3
2022-11-04,50,1.2,2.0,60,40,3,3.9,7.0,11,44,4,4
2022-11-05,40,1.8,1.5,65,50,5,3.9,4.8,11,44,5,5
2022-11-06,30,1.8,1.0,60,60,5,4.0,2.3,11,44,6,6
2022-11-07,40,1.5,1.0,60,60,4,4.0,2.9,11,45,7,0
